slang,formal
teruuss,terus
kdg2,kadang-kadang
sebelumbya,sebelum
tunjukin,tunjukkan
"tahun"",tahun-tahun,"
komentart,komentar
mpein,mempaikan
hokiii,hoki
naksir,menaksir
"abangt"",banget-banget,"
nafkahin,menafkahi
ngitem,menghitam
baaaak,bak
"sama"",sama-sama,"
gx,tidak
lhat,lihat
cantika,cantik
cwek,cewek
kngen,kangen
fillm,film
sinet,sinetron
jendral,jenderal

mae,main
cantiks,cantik
pilm,film
taon,tahun
ndak,tidak
slah,salah
beliin,belikan
cini,sini
jaaangan,jangan
nambah,bertambah
naek,naik
terimaksih,terima kasih
inii,ini
kaannnn,kan
tidakkkk,tidak
kemuh,kamu
da,sudah
keren2,keren-keren
sby,surabaya
tgl,tanggal
pinginnn,mau
buanget,banget
ketemuuu,ketemu
kebawa,terbawa
mimpiii,mimpi
wanjerrr,astaga
satupunn,satupun
motret,memotret
temen2,teman-teman
lapakk,lapak
nyeniii,menyeni
bget,banget
seeh,sih
abis,habis
deuhh,duh
b2an,berduaan
dihargain,dihargai
"engga"",tidak-tidak,"
tahun2,tahun-tahun
lebayy,lebay
gilsss,gila
dech, deh
nganbek,mengambek
sukaa,suka
enk,enak
njir,astaga
mendam,memendam
manta,mantan
relaaaa,rela
bgun,bangun
tdur,tidur
cntk,cantik
knl,kenal
anugrah,anugerah
slm,salam
kliatan,kelihatan
awoohhh,allah
cantiikk,cantik
gt,begitu
sbbnyak,sebanyak
apun,apapun
ngakut,mengakut
untk,untuk
ampunnnnn,ampun
hy,hai
wadaaw,waduh
paraah,parah
sampw,sampai
dijelekin,dijelekkan
napa,kenapa
azeeeek,asik
ntikk,cantik
uhh,uh
mayan,lumayan
mnisss,manis
tambahim,tambahkan
tambahin,tambahkan
"bener"",benar-benar,"
make,memakai
canttikkk,cantik
baanggeettt,banget
ap,apa
siiihh,sih
krpoooo,kepo
pengn,mau
nyusul,menyusul
nyok,mari
adikkk,adik
da,ada
ngiri,mengiri
mmang,memang
nentuin,menentukan
mnjmput,menjemput
ygs,sayang

mblooo,jomblo
ber'expresi,berekspresi
jdul,judul
ciumman,ciuman
aurot,aurat
laginy,lagi
alkhamdulilah,alhamdulillah
kt,kata
selaluu,selalu
ngeh,engah
amen,amin
qm,kamu
nahhh,nah
sampai2,sampai-sampai
hal2,hal-hal
komunitas2,komunitas-komunitas
fotony,foto
halllo,halo
ngiritya,mengirit
hematt,hemat
ciyeeee,cie
yeeee,iya
nget,banget
akusus,khusus
krm,kirim
sam,sama
ajaaahhhhh,saja
syediiihhh,sedih
malangg,malang
belooomm,belum
yaakk,iya
kebukti,terbukti
anak2e,anak-anak
tuwa,tua
comen2,komentar-komentar
pedesssss,pedas
jelas2,jelas-jelas
skg,sekarang
nyebut2,menyebut-nyebut
plg,pulang
smbil,sambil
hellooooooo,halo
ngrebut,merebut
mnjdi,menjadi
taek,tahi
lupain,melupakan
abangkret,abangkrut
taekk,tahi
lahhhhhh,lah
kedokk,kedok
"mati""an,mati-matian,"
nyimak,menyimak
komentarx,komentar
serem2,seram-seram
"ngumpet"",mengumpet-ngumpet,"
blim,belum
sekrang,sekarang
ngerebut,merebut
mnjijikaaaaaan,menjijikkan
astgfrlh,astagfirullah
sahabatt,sahabat
gnyngka,tidak menyangka
sendirir,sendiri
brengsekk,brengsek
ngoment,mengomentari
nusuk,menusuk
skr,sekarang
dpotong,dipotong
helo,halo
kmrin,kemarin
ngmgin,membicarakan
bilangg,bilang
gkhianati,mengkhianati
kpd,kepada
hr,hari
sp,siapa
pljaran,pelajaran
spy,supaya
mngiakuti,mengikuti
klakuan,kelakuan
dibikin2,dibikin-bikin
gimana,bagaimana
nnt,nanti
cew,cewek
cow,cowok
kasiannn,kasihan
syekaliii,sekali
hgga,hingga
cieeeee,cie
sholihah,salihah
adeuh,aduh
halahh,alah
luu,lu
yuuks,mari
yoo,ayo
ginian,beginian
judula,judul
ayoookkkkkk,ayo
artix,arti
cewe,cewek
cowo,cowok
lt,lantai
"nama"",nama-nama,"
cwe,cewek
serem,seram
kepoin,penasaran
keluarin,mengeluarkan
gajelas,tidak jelas
mbak2,mbak-mbak
pedes,pedas
omongin,membicarakan
ngalirrrrr,mengalir
idup,hidup
nmbah,bertambah
terossss,terus
ngehujat,menghujat
dosaa,dosa
ngebela,membela
seindonesiyah,seindonesia
seh,sih
senyumn,senyum
mh,mah
ngalir,mengalir
ngrusak,merusak

kslhn,kesalahan
emang,memang
kalik,kali
bilangin,bilang
mbungin,membung
sllu,selalu
scra,secara
nggali,menggali
cmpur,campur
dgr,dengar
akurng,kurang
nangiiiiis,menangis
nangiiis,menangis
ngomnantiin,mengomentari
woey,woy
bloghhh,bodoh
ngomongin,membicarakan
doank,doang
"abal"",abal-abal,"
dikata2in,dikata-katai
ngehina,menghina
gmna,bagaimana
keabanggan,keabanggaan
dah,sudah
jngn,jangan
mnjawab,menjawab
woooiiiiiiii,
dosaaaaaaaaaa,dosa
ingt,ingat
karmaaa,karma
woooiiiii,
ngkkkkkk,mengakak
makny,mak
wdooohhh,waduh
kasihn,kasihan
lhirr,lahir
hujatann,hujatan
palgi,apalagi
kakakkk,kakak
bagusss,bagus
jt,juta
ngets,banget
stp,setiap
penbelian,pembelian
cuaantik,cantik
sukakkk,suka
cucokkk,cocok
lyt,lihat
expresi,ekspresi
natap,menatap
ccok,cocok
helloo,halo
dripada,daripada
difotoin,difoto
psangan,pasangan
cakepp,cakep
ngiriii,mengiri
coxok,cocok
buatin,buatkan
nihhh,nih
statusx,status
cem,macam
yee,iya
sunggu,sungguh
lagiii,lagi
ammiiin,amin
had,aduh
maaasss,mas
segerrrr,segar
kemn,kemana
suipit,sipit
sipiit,sipit
kedengeran,kedengaran
semangaatt,semangat
promil,program hamil
lancr,lancar
keputihn,keputihan
gratisss,gratis
km,kami
kebayang,terbayang
"mdh"",mudah-mudah,"
bz,bisa
amiinn,amin
ammin,amin
mendapatkn,mendapatkan
lucuuuk,lucu
amaattt,amat
aje,saja
yao,yaallah
ngerayain,merayakan
sotoy,sok tau
yok,mari
buatin,membuat
d.bikinin,dibikin
mmz,mas
bikinin,bikin
bapeeeer,bawa perasaan
bikinin,membikin
siih,sih
diginiin,dibeginikan
hadeehh,aduh
suamiiiii,suami
krenn,keren
kebykan,kebakan
tingal,tinggal
pernikahn,pernikahan
ngtain,mengatai
macem,macam
bagusnyeee,bagus
kemaren,kemarin
hmpir,hampir
liataa,lihat
waw,wow
mbuh,embuh
bsk,besok
berbiiiiiihhh,barbie
canteek,cantik
teru,terus
tok,mencatok
goncengin,boncengkan
kasi,kasih
dianterin,diantar
gebleg,bodoh
dianterin,diantarkan
bosen,bosan
anterin,antar
ngantar,mengantar
nganterin,mengantarkan
mz,mas
nerima,menerima
ati2,hati-hati
yeuh,iya
kmn,kemana
anterin,antarkan
dianter,diantar
disupirin,disopiri
jidad,jidat
novembr,november
hri,hari
bedain,membedakan
genduut,gendut
ehhh,eh
bertatto,bertato
brrt,berarti
kana,kanan
dtg,datang
doong,dong
sblah,sebelah
tauuu,tahu
tengaj,tengah
ps,pas
gmpg,mudah
engk,tidak
apal,hafal
dak,tidak
rupa2,rupa-rupa
kembaq,kembar
tngh,tengah
mk,maka
prmpuan,perempuan
ketuker,tertukar
drimna,darimana
cntikan,mencantikkan
edaaaan,edan
syp,siapa
bcnda,bercanda
uhhh,uh
bazengg,bajingan
haiii,hai
bosaan,bosan
gitu2,begitu-gitu
kmana2,kemana-mana
sdg,sedang
ketaan2,ketaan-ketaan
silahkan,silakan
lwt,lewat

baek2,baik-baik
cma,cuma
berbeda2,berbeda-beda
dibkatakan,dikatakan
doonk,dong
pengiakuy,pengiakut
ngmngin,membicarakan
tuch,tuh
maksd,maksud
adkah,adakah
menbelah,membelah
amari,ayo
mngira,mengira
bertolernsi,bertoleransi
slahkan,salahkan
tolernsi,toleransi
sbnar,sebenar
ingi,ingin
oalaaaa,walah
menjelekan,menjelekkan
hadeuuh,aduh
dikemanain,dikemanakan
aneh2,aneh-aneh
bpk,bapak
baca2,baca-baca
jwb,jawab
komentar2,komentar-komentar
sebelum2,sebelum-sebelum
sbagai,sebagai
sedihh,sedih
kangennnn,kangen
gndakan,gandakan
kangeeeeeeee,kangen
gaa,tidak
ganti'kn,menggantikan
tnang,tenang
amiiiiiiiiiiiiiiiiin,amin
kgeeeen,kangen
kangeenn,kangen
abangeeeet,banget
bsok,besok
hbis,habis
mti,mati
bngetttt,banget
kangeen,kangen
bgect,banget
"kebaikan""y,kebaikan,"
dssi,disisi
kngenn,kangen
kangeeeeennn,kangen
lagii,lagi
dasyat,dahsyat
aer,air
bgni,begini
skalii,sekali
gg,tidak
dtinggl,ditinggal
terbaiiikkkkk,terbaik
murahhh,murah
pecahhg,pecah
kakakgh,kakak
terbaeeeek,terbaik
prempuan,perempuan
manteep,bagus
nggeh,iya
indonesiaaa,indonesia
inia,ini
maluu,malu
cobaaaa,coba
cepetan,cepatan
ntapsss,bagus
kamiiii,kami
smangat,semangat
qmu,kamu
sdkit2,sedikit-sedikit
tntg,tentang
pelitny,pelit
ngajarin,mengajari
laenny,lain
amiinnn,amin
scpatny,secepat
sampein,sampaikan
tuany,tua
doa2,doa-doa
pjg,panjang
adeeek,adik
bca,baca
netes,menetes
mataq,mataku
byangin,membayangkan
trjadi,terjadi
dposisi,diposisi
tanda2,tanda-tanda
dijwb,dijawab
sayy,sayang
salaam,salam
ngajar,mengajar
fto2,foto-foto
laen,lain
dallam,dalam
tentanh,tentang
nangiss,menangis
nnton,menonton
kejadianny,kejadian
klg,keluarga
sayaang,sayang
msg2,masing-masing
meluk,memeluk
siiihhh,sih
mupeng,muka mau
caya,percaya
aduhhhhhhhhh,aduh
buseett,buset
mblo,jomblo
lucuuu,lucu
gagahx,gagah
miriiiip,mirip
kaliiii,kali
niru,meniru
bpkmu,bapakmu
sangt,sangat
baang,abang
gasih,tidak sih
yuu,mari
yuuu,mari
samaa,sama
ngademin,mengadem
aahh,ah
makasi,terima kasih
keluarin,keluarkan
yokk,mari
gils,gila
ono,sana
bagiin,membagikan
suksea,sukses
temenan,berteman
sehh,sih


genggg,geng
yaw,ya allah
bh,bahan
samaaaa,sama
aabanggaku,aabang
sayanggg,sayang
dsni,disini
kokohh,engkoh
pdhal,padahal
takuttt,takut
maris,mari
pnjual,penjual
yh,iya
dung,dong
latian,latihan
aaaaaaakkk,ah
mauuuu,mau
soga,moga
tteh,teteh
sintron,sinetron
astagaa,astaga
ancurrr,hancur
iaa,iya
dblkang,dibelakang
yayang,sayang
gokillllll,gila
aplks,aplikasi
ska,suka
ktawa,ketawa
baguuus,bagus
kaaan,kan
ngepoin,penasaran
uuhh,uh
beut,banget
pengeeenn,mau
dongggg,dong
hatii,hati
besook,besok
mauu,mau
gtuu,begitu
njayyy,anjing
maacih,terima kasih
tokayyy,tahi
tp,tapi
mksdaku,maksudku
gituin,begitukan
lgsung,langsung
cba,coba
nh,nih
"ilang"",hilang-hilang,"
giniin,beginikan
ksini,kesini

ayank,sayang
anyeng,anjing
yankkk,sayang
cuakurrr,cuakur
gilaaaaaa,gila
yhaaa,ya
qaqaaaa,kakak
sayangakuuuuu,sayangku
kakakuuu,kakakku
dh,sudah
banx,abang
edannn,edan
bape,bawa perasaan
"artis"",artis-artis"
ngelahirin,melahirkan
paksain,memaksa
biasaa,biasa
hub,hubungi
hubunggi,hubungi
telimakacih,terima kasih
nerawang,menerawang
cantiiiik,cantik
didapet,didapat

pede,percaya diri

nyolot,menyolot
kakk,kakak
elahh,elah
pnting,penting

bela2in,membela-bela
marah2an,marah-marahan
wlaupun,walaupun
syantiiiiikkkkkkkkkkkk,cantik
"bwa"",bawa-bawa,"
agma,agama
hijabb,hijab
kerrennn,keren
ngetik,mengetik
ntah,entah
pan,kapan
mateeeek,mati
geetoo,begitu
sewain,menyewa
kokkk,kok
muluuu,melulu
yaaang,yang
iyaa,iya
gituu,begitu
yappp,iya
uhhhh,
bnr2,benar-benar
psgn,pasangan
ujg,ujung
rmbut,rambut
smp,sampai
kki,kaki
hamarik,ayo
ntab,bagus

mariss,mari
lihaatttt,lihat
niiiihh,nih
liattt,lihat
cuyyy,cuy
gapernah,tidak pernah
liatiii,lihat
jombsss,jomblo
emesshhh,gemas
gemeessss,gemas
poollll,pol
gemesyak,gemas ya
bngttt,banget
ngegmesin,menggemaskan
hndak,hendak
hndk,hendak
iiih,ih
lutunaa,lucu
abiz,habis
ngareppppp,mengharap
aamiinin,amin
imuutt,imut
abizzz,habis
tay,tahi
toket,tetek
tumpe2,tumpah-tumpah
lenje,manja
tuuuuh,
canti,cantik
macam2,macam-macam
"mbak"",mbak-mbak,"
ngatain,mengatakan
mbakahh,mbak
pyudara,payudara
ditutupin,ditutupi
bgitu,begitu
sich,sih
cantiik2,cantik-cantik
hati.a,hati
mk.a,maka
mlt.a,mulut
nyerocooooos,mencerocos
kyk.a,seperti
sklh,sekolah
pljrn,pelajaran
srng,sering
ngilang,menghilang
dikatain,dikatai
maluuu,malu
ngalahin,mengalahkan
brisi,berisi

pkok,pokok
astagfirullh,astagfirullah
nutupin,menutupi
hub,menghubungi
ori,orisinal
kakakaaaaaaaaaaaaaa,kakak
cantikkkkkkkk,cantik
batwc,banget
kamyuhhh,kamu
dbwh,diba
bukti2,bukti-bukti
senenggg,senang
mao,mau
murhan,murahan
prwtn,perawatan
wjh,wajah
bgettt,banget
mereka2,mereka-mereka
pakke,pakai
dipake,dipakai
ktergantungan,ketergantungan
prwatn,perawatan
ngebuktiin,membuktikan
hsl,hasil
awal2,awal-awal
setabil,stabil
maksih,terima kasih
gratiss,gratis
bbrpa,beberapa
"gara"",gara-gara,"
"benar"",benar-benar,"
ajaibb,ajaib
poko,pokok
setujuuu,setuju
digituin,dibegitukan
sekolahin,sekolahkan
ajarin,ajarkan
sendirii,sendiri
mrnghadapi,menghadapi
apalg,apalagi
naka,anakal
sdkt,sedikit
besar2in,besar-besarkan
bgmana,bagaimana
s*inetr*n,sinetron
mrusak,merusak
mndpt,mendapat
skt,sakit
sebk,sebak
terburu2,terburu-buru

ngumpat2,mengumpat-ngumpat
nantangin,menantang
ngegampar,menggampar
ngelaporin,melaporkan
salahin,salahkan
gabisa,tidak bisa
konsekwensi,konseakuensi
muliany,mulia
mungki,mungkin
lngsung,langsung
tsb,tersebut
t4,tempat
bacahalah,bacalah
dikerasin,dikerasi
gkkan,tidak akan
ngulangin,mengulangi
bedaa,beda

bol3h,boleh
ngadu,mengadu
ketauan,ketahuan
dimarahin,dimarahi
nyelesain,menyelesaikan
troma,trauma
kerasin,kerasi
kamu2,kamu-kamu
cewer,jewer
bilanh,bilang
ngapain,mengapa
jwban,jawaban
nuduh,menuduh
ngatur,mengatur
rajin2,rajin-rajin
bacaaaa,baca
kekk,seperti
jungkiir,jungkir
gunaa,guna
bales2in,balas-membalas
orangg,orang
tauuuu,tahu
byak,banyak
kepad,kepada
bantuanny,bantuan
ttinggi,tinggi
perna,pernah
grgr,gara-gara
jari2,jari-jari

bengkak2,bengkak-bengkak
komentarin,komentari
bijak2,bijak-bijak
lama2,lama-lama
menurur,menurut
tipe2,tipe-tipe
liatlah,lihatlah
teguran2,teguran-teguran
gr2,gara-gara
gamau,tidak mau
skolah,sekolah
pdahal,padahal
klas,kelas
takut,takut
gru,guru
pndah,pindah
liat2,lihat-lihat
masukin,memasukkan
dilindungin,dilindungi
kasiaannn,kasihan
miring2,miring-miring
tinggalin,tinggalkan
kaitannha,kaitan
sud,sudah
pinter,pintar
rana,ranah
thdp,terhadap
scr,secara
bhkn,bahkan
justeru,justru
ngatai,mengatai
kln,kalian
sukak,suka
termuraaahhhh,termurah
brakunjun,berakunjung
suarra,suara
"bner"",benar-benar,"
iu,itu
bgussss,bagus
kmaren,kemarin
ambilin,mengambil
biasaaaa,biasa
luuuaar,luar
redho,ridho
rezki,rezeki
kepd,kepada
luaarrr,luar
biasaaa,biasa
jadilh,jadilah
bnr,benar
terhaaru,terharu
orru,orang tua
flm,film
kalauk,kalau
adik2,adik-adik
loncatt,loncat
hampasss,hempas
tehh,teh
bunga2,bunga-bunga
apaaan,apaan
ampuuunn,ampun
daaah,dah
bangetttttt,banget

cantiiikk,cantik
suaraaaaaa,suara
idoolaaa,idola
pulaa,pula
penyi2,penyi-penyi
wiih,
apaa,apa
miriip,mirip
allaahh,allah
ajahhh,saja
trims,terima kasih
at,sehat
salammmm,salam
hari2,hari-hari
sihat,sehat
buruann,buruan
rekomentardain,rekomentardasikan
trussss,terus
abangt,banget
cepet,cepat
pesen,pesan
boong,bohong
prawatan,perawatan
mkin,makin
dimao,dimau
dijadiin,dijadikan
silahkn,silakan
kasiat,khasiat
"mik""an,mik-mikan,"
suksess,sukses
prodak,produk
trasa,terasa
minpi,mimpi
bner2,benar-benar
mutihin,memutihkan
smster,semester
kmren,kemarin
ucull,lucu
"ngomong"",ngomong-ngomong,"
uh,sudah
syng,sayang
dipermainin,dipermainkan
kocakkk,kocak
dasarrr,dasar
waaaaw,wow
cannnnntikkkkkkk,cantik
mukax,muka
cantikx,cantik
fatanik,fanatik
protestin,protestan
kakau,kalau
marh,marah
darpada,daripada
cooooooocok,cocok
pkk,pakai
sling,saling
agama'ny,agama
bilng,bilang
prcy,percaya
lurusin,meluruskan
biri,biru
luco,lucu
ultha,ulang tahun
batikk,batik
arab2,arab-arab
luchu,lucu
sedihhh,sedih
syang,sayang
ngasi,mengasih
naaaak,anak
astafirullah,astagfirullah
peragain,peragakan
shayyy,sayang
anjaayy,anjing
shay,sayang
ngilerrrr,mengiler
woyyy,woy
shaaaay,sayang
hempaass,hempas
sayyy,sayang
shayy,sayang
syantiek,cantik
njay,anjing
hehh,eh
cantik2,cantik-cantik
kam,kamu
ingeet,ingat
sblh,sebelah

nawarin,menawari
amiiiiin,amin
jauhhh,jauh
waaahhh,
ajakin,mengajak
mntn,mantan
ade,adik
luhhh,lu
yooookkk,mari
jrnk,jarang
"jelas"",jelas-jelas,"
kayax,seperti
dblkng,dibelakang

mirippp,mirip
sangattt,sangat
iyap,iya
mayann,lumayan
auh,tahu 
atutt,takut
ketara,tertara
giniii,begini
looo,lu
mbaaass,mbak
bund,bunda
abangeeettt,banget
almh,almarhumah
temenakuuh,temanaku
suami'y,suami
bngeeeetttt,banget
entr,nanti
kyax,seperti
cuantikkk,cantik
namain,namai
kaaaaaaaaaakkkkkkkkkkk,kak
akucing'y,akucing
nama'in,namai
panggilan'ya,panggilan
panggilan'y,panggilan
z,saja
kalw,kalau
tips2,tips-tips
alu,aku
ngerrrriiii,ngeri
ngriii,mengiri
amatt,amat
smpai,sampai
paksain,memaksakan
kox,kok
th,teh
tmbah,tambah
cntikk,cantik
pkee,pakai
smkin,semakin
amiiiiinnn,amin
bgmna,bagaimana
ssorg,seseorang
hdpn,hadapan
mnambh,menambah
ktaatan,ketaatan
stju,setuju
cantikkkkkk,cantik
dilepas2,dilepas-lepas
tehhh,teh
istiqomahhh,istikamah
tehhhh,teh
imutt,imut
amu,kamu
nahh,nah
mauuuuuuu,mau
jilbb,jilbab
tmn,teman
ndut,gendut
ngecek,mengecek
psti,pasti
penasarn,penasaran
cuyy,cuy
astauviru,astagfirullah
paaak,pak
diajarin,diajari
gawl,gaul
kecr,kece
iih,ih
laaaah,lah
aned,banget
gingsungny,gingsul
blh,boleh
cariin,carikan
kenceng,kencang
cuanti,cantik
lh,boleh
knlan,kenalan
mbaakk,mbak
mrka,mereka
nyusahhin,menyusahkan
byaran,bayaran
wlawpun,walaupun
sedangkn,sedangkan
tnpa,tanpa
bnggain,abangga
omongin,omongkan
nyusahin,menyusahkan
malu2in,malu-malui
diabanggain,diabangga
wlau,walau
"abangga""in,membanggakan"
krya,karya
"bilang"",bilang-bilang,"
tinggall,tinggal
dmna,dimana
dripda,daripada
abangga2in,membanggakan
dibnggain,diabangga
karya2,karya-karya
drimana,darimana
ngepake',memakai
gksalah,tidak salah
nuntut,menuntut
ngebiarin,membiarkan
bhas,bahas
lagu'y,lagu
jadiin,jadikan
diem,diam
mpah,mempah
"mba"",mbak-mbak"
tidak'a,tidak
tappi,tapi
kalli,kali
pacara,pacaran
"ngerebut"",merebut-rebut"
lluu,lu
mbaa,mbak
ngerussak,merusak
"bela""in,membela-bela,"
bellain,membela
kallo,kalau
coment,komentar
dewassa,dewasa
comnet,komentar
"pikir"",pikir-pikir"
kaya'a,kaya
akuyyy,mari
kitaa,kita
sgtu'y,sebegitu
ngebelain,membela
tpii,tapi
"karya"",karya-karya,"
do,di
cali,caci
penghrgaan,penghargaan
ajjh,saja
lbihh,lebih
baikk,baik
drii,dari
"artist"",artis-artis,"
"maki"",maki-maki,"
komentarin,mengomentari
sendirin,sendiri
stidak,setidak
may,mau
trbaikk,terbaik
punn,pun
mengiakutii,mengiakuti
atassan,atasan
klauu,kalau
jngnn,jangan
so,sok
sendirinyya,sendiri
frestasiii,prestasi
mst,mesti
add,ada
see,sih
sibukx,sibuk
in,ini
kataa,kata
lawaaaas,lawas
kocaaaak,kocak
pkoka,pokok
dsana,disana
dua2,dua-dua
sichhhhhhhhhh,sih
nampak,menampak
tetehh,teteh
nambah,menambah
kepoin,kepoi
wooowww,wow
cobain,coba
muga,moga
kenalin,mengenalkan
janka,jangka
wawwwww,wow
waaaww,wow
waaawwww,wow
bagusp,bagus
cobaaa,coba
kageet,kaget
bangettttttt,banget
oplas,operasi plastik
nambahh,bertambah
paripurnahh,paripurna
wanitah,wanita
indonesiaah,indonesia
cumn,cuma
gegra,gegara
brita,berita
fotbar,foto bareng
wajarrr,wajar
sngt,sangat
wk,waktu
bingiittt,banget
nampar,menampar
tukan,tukang
jatoh,ja
"muka"",muka-muka,"
sdgkn,sedangkan
"apa"",apa-apa,"
mancungin,memancungkan
idung,hidung
akusem,akusam
drpada,daripada
kmar,kamar
diemm,diam
tnggu,tunggu
ketawain,mentertawakan

yaelahhh,alah
"sikap"",sikap-sikap,"
bales,balas
ampuun,ampun
ngejain,manjakan
ngelakuin,melakukan
gedeg,geadik
muka2,muka-muka
eey,eh
kslahan,kesalahan
ngata2in,mengatai-ngatai
perhatiam,perhatian
dibiarin,dibiarkan
pny,punya
sbnrny,sebenar
trjd,terjadi
mkir,memikir
hny,hanya
apalai,apalagi
bkal,bakal
saat2,saat-saat
dar,medari
dar,sadar
bka,buka
berani2,berani-berani
lucuuuuu,lucu
pipi'y,pipi
gemmeeezzz,gemas
sukam,suka
menghilangkn,menghilangkan
mnjdkan,menjadikan
mudah2n,mudah-mudahan
stlh,setelah
soalx,soal
keche,kece
badaii,badai

bebrp,beberapa
sblum,sebelum
santab,santap
salehah,salihah
mikirin,memikirkan
subhannallah,subhanallah
konsul,konsultasi
pengalam,pengalaman
trun,turun
akuninggg,akuning
pinkkkk,pink
warnany,warna
seger,segar
senangat,semangat
msk,masak
kerennnn,keren
ciptain,ciptakan
bagussss,bagus
sayangakuh,sayangaku
gans,ganteng
kren,keren
babget,banget
dihh,dih
jadu,jadi
ksyngn,kesayangan
haru,harus
ngingetin,mengingatkan
narik,menarik
"orang"",orang-orang,"
gokilll,gila
astagaaaa,astaga
hancuuuuuy,hancur
mattihhh,mati
beudd,banget
termiribkan,termiripkan

dngerin,mendengarkan
brrti,berarti
wenakk,enak
nganteng,ganteng
aabanggg,aabang
seksii,seksi
g,begitu
jadii,jadi
emeezzz,gemas
amohhh,kamu
maau,mau
eyke,aku
gilakkkkk,gila
awk,awak
duhhhhh,duh
wowww,wow
liaatt,lihat
iniiiii,ini
a,allah
ngettt,banget
maso,masa
brubah,berubah
pelastik,plastik
keak,seperti
dengerin,dengarkan
beud,banget
pahamin,pahami
takuuuuut,takut
ahahahrr,
jogetin,berjoget
shaay,say
boker,berak
pacara,pacar
siapaa,siapa
matii,mati
ketawaa,ketawa
wanjiir,astaga
bw,bawa
minta,meminta
bnran,benaran
sgla,segala
uit,duit
beliiin,belikan
yaaah,ya
sekaeang,sekarang
tgk,tengok
bkn,bikin
tain,takan

bakin,baki
tipu2,tipu-tipu
doaang,doang
gituan,begituan
kaj,kak
iiiiiiiii,ih
kaliiiiiii,kali
melebihin,melebihi
gakpapa,tidak apa-apa
kalaugak,kalau tidak
sm2,sama-sama
nduakung,menduakung
kaaaaa,kak
aamiinnn,amin
skluarga,sekeluarga
suaminga,suami
berhijap,berhijab
smgaa,semoga
istiqamah,istikamah
cuaaantikk,cantik
muraaaaah,murah
baraang,barang
aamiiin,amin
bets,banget
alhamdulillaaaaah,alhamdulillah
sembuhin,menyembuhkan
pengrusak,perusak
ngoceh,mengoceh
aduhhh,aduh
hpus,hapus
pjang,pajang
bdampingan,berdampingan
kaga,kagak
uih,uh
"serem"",seram-seram,"
"happi"",hepi-hepi,"
bgtuu,begitu
mff,maaf
ktwa,ketawa
trlalu,terlalu
jjur,jujur
ngmg,membicarakan
semogaa,semoga
kepelesett,terpeleset
geeelaakk,gila
bolang,bocah petualang
pkek,pakai
lah,lagi
hedeuuhh,aduh
stress,stres
saltummmm,salah kostum
mboizzz,bois
kayaq,seperti
ema,emak
dirumahny,dirumah
yuh,
rmbt,rambut
apus,hapus
siapayahh,siapa ya
kostom,kostum
loo,lu
gnii,begini
atuu,satu
pipiaa,pipi
bungakuuuuuuuuusss,bungakus
iiiihhhhhj,ih
emeessss,gemas
pipine,pipi
glembeeeer,gelambir
lucunaaa,lucu
cubanget,lucu banget
pengenn,mau
unyuuk,unyu
deadik,adik
lucuh,lucu
mantaaap,bagus
keduaa,kedua
trsrh,terserah
ksih,kasih
seterong,setrong
teyuss,terus
dimasukin,dimasuki
jelekin,menjelekkan
jahatin,menjahati
masukin,memasuki
tai,tahi
gtw,tidak tau
qo,kok
nulis,menulis
nyebutin,menyebutkan
ngertiin,mengerti
rasaiin,rasai
gakusah,tidak usah
